Arrival_rate,Ave,P50,P90,P99,P999,P9999,sla_default_rate(%),sla_default_percentage(%),latencyFile,clusterMapFile
200.5228,23.6355,22.8865,51.6794,118.1075,213.5227,356.2492,1.5012,30.3326,cephSimResult/latency/latency_0.300000_000.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.6077,23.6211,22.8865,51.7966,119.5794,206.7815,296.5089,1.5075,29.9983,cephSimResult/latency/latency_0.300000_001.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.8917,23.5639,22.8868,51.3001,119.0576,201.4279,298.0188,1.5337,27.9514,cephSimResult/latency/latency_0.300000_002.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.5423,23.6314,22.887,51.3024,120.2918,213.1916,316.1461,1.5894,30.3071,cephSimResult/latency/latency_0.300000_003.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.0326,23.5975,22.8866,51.3733,121.0836,203.0704,313.3249,1.5631,31.1265,cephSimResult/latency/latency_0.300000_004.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.6797,23.6885,22.8868,51.6274,121.2715,206.8092,325.1522,1.5212,30.8673,cephSimResult/latency/latency_0.300000_005.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.4146,23.5064,22.8865,51.2609,117.9995,204.4554,320.5895,1.4531,30.1464,cephSimResult/latency/latency_0.300000_006.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.9583,23.7123,22.8867,51.5383,121.3617,215.1762,326.408,1.5756,31.4295,cephSimResult/latency/latency_0.300000_007.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
199.9319,23.5743,22.8864,51.1944,120.0428,201.9092,276.3559,1.5294,29.8009,cephSimResult/latency/latency_0.300000_008.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
200.2157,23.4363,22.8868,50.7548,117.1855,206.6378,329.1413,1.4025,30.2789,cephSimResult/latency/latency_0.300000_009.csv,scratch/CephSim2022-11-14/cluster_map_mod.csv
,,,,,,,,,,
,,,,,,¾ùÖµ,1.51767,30.22389,,
