packet_id,server_id,client_send_time(s),server_Rev_Time(s),server_Send_Time(s),client_rev_time(s),latency(ms),queue_len
9663894,0,1.35583,1.35694,1.36194,1.36305,7.21078,1
9663920,15,1.35832,1.35942,1.39566,1.3968,38.4779,1
9663934,13,1.36131,1.36241,1.44916,1.45031,88.9991,4
9663944,13,1.36343,1.36453,1.46984,1.47099,107.559,4
9663978,4,1.36942,1.37052,1.37552,1.37665,7.23301,1
9663981,1,1.37006,1.37116,1.37617,1.37731,7.2475,1
9664040,7,1.38153,1.38263,1.38763,1.38885,7.32065,1
9664045,12,1.38368,1.38478,1.40549,1.40676,23.0817,1
9664088,8,1.39152,1.39262,1.39762,1.39876,7.24477,1
9664093,5,1.3953,1.3964,1.4014,1.40251,7.21145,1
9664124,0,1.39911,1.40021,1.40521,1.40642,7.313,1
9664132,13,1.40145,1.40255,1.59396,1.59523,193.772,4
9664254,0,1.40922,1.41032,1.41532,1.41648,7.26478,1
9664259,4,1.41184,1.41294,1.41794,1.4191,7.25916,1
9664262,2,1.41244,1.41354,1.41855,1.41976,7.31934,1
9664269,13,1.41451,1.41561,1.49052,1.49168,77.1727,6
9664362,1,1.4329,1.434,1.439,1.4402,7.30517,1
9664365,13,1.43357,1.43467,1.51122,1.51243,78.8667,6
9664401,8,1.4424,1.4435,1.4485,1.44963,7.23224,1
9664428,13,1.45004,1.45115,1.53189,1.533,82.9549,5
9664433,6,1.45608,1.45718,1.46219,1.46334,7.25605,1
9664436,12,1.45634,1.45744,1.47817,1.47952,23.1773,1
9664443,12,1.45875,1.45985,1.49885,1.49998,41.2276,1
9664465,13,1.46451,1.46561,1.55257,1.55376,89.2509,5
9664470,13,1.46621,1.46731,1.57325,1.57439,108.174,5
9664473,3,1.46652,1.46762,1.47263,1.47389,7.3661,1
9664546,15,1.47691,1.47801,1.49873,1.50005,23.1389,1
9664549,14,1.47702,1.47812,1.49879,1.49991,22.8864,1
9664633,8,1.4811,1.4822,1.48721,1.48843,7.32966,1
9664638,13,1.48294,1.48404,1.61465,1.61584,132.906,5
9664697,4,1.49285,1.49395,1.49896,1.5002,7.35195,1
9664826,14,1.50809,1.50919,1.52986,1.53099,22.9001,1
9664868,13,1.51169,1.51279,1.65601,1.65717,145.478,3
9664873,7,1.51507,1.51617,1.52117,1.52227,7.20289,1
9664878,1,1.5163,1.5174,1.5224,1.52354,7.23539,1
9664888,10,1.52133,1.52243,1.5431,1.54422,22.8896,1
9664902,8,1.5259,1.527,1.532,1.5331,7.20617,1
9664926,4,1.53522,1.53632,1.54132,1.54247,7.24921,1
9664944,13,1.54199,1.5431,1.63533,1.63648,94.4858,4
9664954,9,1.54671,1.54781,1.56851,1.56977,23.0613,1
9664984,15,1.55751,1.55861,1.57929,1.58042,22.9076,1
9664989,0,1.5665,1.5676,1.57261,1.57391,7.40629,1
9664994,7,1.5678,1.5689,1.57391,1.5752,7.39301,1
9665048,10,1.57092,1.57202,1.5927,1.59386,22.9365,1
9665180,13,1.57776,1.57886,1.67671,1.67793,100.169,2
9665194,15,1.57988,1.58098,1.60166,1.60283,22.9526,1
9665197,5,1.58065,1.58175,1.58675,1.58788,7.23266,1
9665204,13,1.58335,1.58445,1.6974,1.69861,115.258,1
9665218,0,1.58825,1.58935,1.59437,1.59571,7.46071,1
9665370,10,1.59728,1.59838,1.61907,1.62025,22.9749,1
9665425,15,1.61543,1.61653,1.63721,1.63836,22.9244,1
9665455,15,1.61997,1.62107,1.65792,1.6592,39.2337,2
9665460,6,1.6212,1.6223,1.62731,1.62861,7.41538,1
9665465,15,1.62296,1.62406,1.67859,1.6797,56.744,1
9665470,6,1.62576,1.62686,1.63231,1.63348,7.72345,1
9665570,2,1.63542,1.63652,1.64152,1.64269,7.27418,1
9665596,14,1.63953,1.64063,1.66134,1.66261,23.0842,1
9665622,14,1.64707,1.64817,1.68202,1.68318,36.1152,1
9665627,7,1.65162,1.65272,1.65773,1.65909,7.47681,1
9665630,4,1.65218,1.65328,1.65829,1.65962,7.44391,1
9665637,2,1.65391,1.65501,1.66002,1.66127,7.36045,1
9665659,0,1.65647,1.65757,1.66258,1.66386,7.39677,1
9665875,15,1.65947,1.66057,1.69927,1.70042,40.9469,1
9666035,5,1.66867,1.66977,1.67478,1.67606,7.3936,1
9666038,6,1.66956,1.67066,1.67566,1.67687,7.31473,1
9666045,1,1.67477,1.67587,1.68088,1.68218,7.41364,1
9666175,2,1.67691,1.67801,1.68301,1.68418,7.27345,1
9666180,14,1.67698,1.67808,1.70269,1.70382,26.8388,1
9666253,5,1.68117,1.68227,1.68728,1.6884,7.22818,1
9666256,15,1.68141,1.68251,1.71995,1.72111,39.6986,3
9666275,15,1.68217,1.68327,1.74064,1.74182,59.6528,2
9666315,15,1.69184,1.69294,1.7614,1.76288,71.04,3
9666320,14,1.69354,1.69464,1.72337,1.72452,30.9824,1
9666380,0,1.70409,1.70519,1.71019,1.71134,7.25062,1
9666383,7,1.70477,1.70587,1.71087,1.71202,7.24607,1
9666390,13,1.7098,1.71091,1.73158,1.73268,22.8746,1
9666421,0,1.71192,1.71302,1.71802,1.71918,7.26299,1
9666460,15,1.72311,1.72421,1.78212,1.78346,60.3572,2
9666476,6,1.72365,1.72475,1.72975,1.73092,7.27544,1
9666483,15,1.72564,1.72674,1.8028,1.80394,78.2985,2
9666514,13,1.7386,1.7397,1.7604,1.76162,23.0232,1
9666517,11,1.7389,1.74,1.76068,1.76182,22.9133,1
9666520,7,1.73926,1.74036,1.74537,1.74652,7.25857,1
9666571,2,1.75196,1.75306,1.75808,1.75945,7.48946,1
9666661,10,1.75961,1.76071,1.7814,1.78257,22.9613,1
9666712,8,1.76123,1.76233,1.76733,1.76847,7.23163,1
9666834,8,1.76704,1.76814,1.77315,1.77431,7.26378,1
9666865,13,1.77346,1.77456,1.79535,1.79697,23.5033,1
9666870,15,1.77791,1.77901,1.82347,1.82459,46.674,1
9667130,12,1.80037,1.80147,1.82214,1.82325,22.8807,1
9667133,3,1.80075,1.80185,1.80685,1.80798,7.23224,1
9667153,10,1.80682,1.80792,1.82861,1.8298,22.9821,1
9667167,13,1.81253,1.81363,1.83432,1.8355,22.9699,1
9667172,3,1.81703,1.81813,1.82313,1.82425,7.2149,1
9667177,13,1.8188,1.8199,1.85501,1.8562,37.4002,2
9667180,13,1.81914,1.82024,1.8757,1.8769,57.7602,1
9667231,6,1.83007,1.83117,1.83617,1.83732,7.2583,1
9667278,7,1.84694,1.84804,1.85305,1.85424,7.30192,1
9667337,15,1.85528,1.85638,1.87706,1.87821,22.9339,1
9667342,1,1.85787,1.85897,1.86397,1.86509,7.22334,1
9667347,8,1.85985,1.86095,1.86595,1.86712,7.27192,1
9667352,9,1.86157,1.86268,1.88335,1.88448,22.9051,1
9667355,3,1.86205,1.86315,1.86816,1.86935,7.29978,1
9667362,15,1.86346,1.86456,1.89774,1.89891,35.4556,1
9667365,0,1.86369,1.86479,1.86979,1.87091,7.21441,1
9667398,14,1.86723,1.86833,1.88901,1.89017,22.9411,1
9667483,15,1.8778,1.8789,1.91841,1.91954,41.7447,1
9667493,13,1.88346,1.88456,1.90523,1.90638,22.9202,1
9667502,10,1.88724,1.88834,1.90901,1.91012,22.8775,1
9667505,0,1.88766,1.88876,1.89376,1.89488,7.21481,1
9667529,8,1.89262,1.89372,1.89873,1.90008,7.46009,1
9667539,12,1.89585,1.89695,1.91765,1.91889,23.0412,1
9667642,8,1.9039,1.905,1.91,1.91113,7.22503,1
9667660,8,1.90611,1.90722,1.915,1.91614,10.0206,1
9667665,5,1.90762,1.90872,1.91372,1.9149,7.27881,1
9667760,3,1.9256,1.9267,1.9317,1.93287,7.27019,1
9667786,11,1.93219,1.93329,1.95397,1.95511,22.917,1
9667789,4,1.93246,1.93356,1.93856,1.93969,7.23446,1
9667796,13,1.9346,1.9357,1.95639,1.95759,22.9942,1
9667810,3,1.94409,1.94519,1.9502,1.9514,7.30791,1
9667815,7,1.9481,1.9492,1.95421,1.95539,7.28267,1
