0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,0,0,0,0,0,0,7.315761,7.732070,7.839608,7.235639,7.346047,7.953609,7.327888,7.317265,8.147589,23.006714,23.004240,23.026424,22.937679,27.080546,22.965495,24.702753
0,0,0,0,0,0,0,0,0,7.283198,7.316846,7.851962,7.322145,7.277891,7.590304,7.286711,7.904107,7.310948,24.108067,27.100640,22.957674,22.943005,24.812406,22.885700,25.662660
0,0,0,0,0,0,0,0,0,7.369244,7.340478,7.640154,7.721090,7.286763,7.377340,7.234996,7.447202,8.230192,23.034028,26.211500,23.084510,26.024802,22.960143,22.972369,32.304756
0,0,0,0,0,0,0,0,0,7.407706,7.276408,7.301077,7.277436,7.263207,7.741738,7.510080,7.526203,8.090755,23.030612,22.983126,22.988073,22.951697,25.601800,22.984440,25.955086
0,0,0,0,0,0,0,0,0,7.339838,7.793313,7.795374,7.643265,7.257449,7.296678,7.257736,7.284285,7.543673,22.946607,26.866331,25.855025,22.991080,23.711737,22.959446,32.183218
0,0,0,0,0,0,0,0,0,7.280782,7.840212,7.845509,8.186665,7.755022,7.396292,7.283052,7.854914,7.311162,22.924063,23.017583,22.968981,44.501879,25.599973,23.999184,25.002938
0,0,0,0,0,0,0,0,0,7.519857,7.478406,7.756166,7.286170,8.071307,7.532357,7.274589,7.410537,7.405327,29.132118,22.915034,22.971623,22.998973,25.107380,25.738522,26.648774
0,0,0,0,0,0,0,0,0,7.455517,7.273768,7.312929,7.286091,7.508160,8.367101,7.538402,7.856350,7.888038,22.948118,23.039692,29.866191,22.972838,26.163648,22.924050,29.284591
0,0,0,0,0,0,0,0,0,7.757558,8.032446,7.533638,7.656506,7.296171,7.823215,7.425986,7.399175,7.376865,23.730065,25.725431,0,22.923708,28.287603,24.803726,28.431803
0,0,0,0,0,0,0,0,0,7.476265,7.664315,7.351415,8.250057,7.398971,7.627389,7.336779,7.282125,7.850017,27.067693,26.054539,23.999249,25.382052,33.172680,22.974573,32.574970
0,0,0,0,0,0,0,0,0,7.390101,7.275916,7.847446,7.581154,7.486958,7.300586,7.606226,8.087933,7.602217,23.008072,23.191797,28.724444,22.962702,31.253930,22.947652,24.218423
0,0,0,0,0,0,0,0,0,7.669835,7.443308,7.546393,7.608701,7.793652,7.282485,7.312664,7.325539,8.340965,22.920952,24.075586,22.894933,23.078078,27.206788,22.952057,23.014862
0,0,0,0,0,0,0,0,0,7.446366,7.310767,7.864523,7.569287,8.973608,7.293020,7.887701,8.446753,7.289374,25.790014,23.148520,22.944284,23.553758,30.314882,22.944440,22.993765
0,0,0,0,0,0,0,0,0,7.268917,7.288594,7.800479,7.419110,7.764994,7.860305,7.927982,8.050456,7.311178,25.796664,22.962293,23.006919,26.082856,29.521255,22.924911,26.954169
0,0,0,0,0,0,0,0,0,7.924627,8.703522,7.795499,7.283383,7.821300,7.258903,7.717064,7.362765,7.299059,24.097159,22.965781,22.911143,25.387063,25.676853,22.942491,33.461794
