0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,0,0,0,0,0,0,7.265961,8.248701,7.814108,7.291252,7.659785,7.474759,7.561355,7.526108,7.279194,22.916654,23.599423,22.939708,24.201868,33.435476,24.805801,25.678914
0,0,0,0,0,0,0,0,0,7.256125,7.260455,7.409764,7.282361,7.995609,7.895698,7.559710,7.565005,7.503140,24.280346,27.726536,22.950730,33.156127,28.979853,22.924697,27.103321
0,0,0,0,0,0,0,0,0,7.337478,7.380697,7.499248,7.593079,7.259009,7.286835,7.270002,7.520134,8.358087,22.951413,29.678175,22.886335,22.943986,43.198605,22.956112,26.679430
0,0,0,0,0,0,0,0,0,7.483516,7.538917,7.813020,7.669768,7.290238,7.437964,7.485503,7.697136,7.318260,22.963509,23.009939,22.919686,23.101932,26.807344,27.242825,27.293628
0,0,0,0,0,0,0,0,0,7.256518,7.310693,7.524250,7.912513,12.340850,7.318435,7.297941,7.900283,7.543784,22.915751,25.464706,22.993080,22.955818,23.885418,24.489973,29.825041
0,0,0,0,0,0,0,0,0,7.961413,7.636239,7.837727,7.225602,7.470628,7.681185,7.687357,7.644737,7.689331,23.546198,24.436419,22.901060,27.458583,25.923021,23.992335,26.433957
0,0,0,0,0,0,0,0,0,7.462012,7.276696,7.520690,7.577993,7.283158,7.803604,7.269921,7.497299,7.304571,22.958861,25.297397,24.340229,22.994048,27.647395,24.505440,23.163000
0,0,0,0,0,0,0,0,0,7.474596,7.498546,7.797222,7.283671,7.841739,8.164365,7.397797,7.289955,7.833506,23.030191,22.995223,22.970326,22.943812,28.269398,22.944838,26.087615
0,0,0,0,0,0,0,0,0,7.504449,7.724447,7.301172,7.280003,7.268381,7.554460,7.396357,7.297739,8.093995,24.084274,24.647351,27.711034,25.548740,29.614364,22.938226,29.522655
0,0,0,0,0,0,0,0,0,7.282427,7.812078,7.352208,7.818792,7.302162,7.497106,7.890358,7.408172,7.324574,27.794363,26.433573,0,22.995003,26.793622,22.905810,25.127666
0,0,0,0,0,0,0,0,0,7.271306,7.305370,7.557164,7.466415,7.265466,7.705906,7.737737,8.102962,7.393438,24.929929,26.478798,27.205674,22.972049,27.206062,22.917195,23.563209
0,0,0,0,0,0,0,0,0,7.466718,8.024818,7.685557,8.193846,7.308099,7.615270,7.687279,7.452285,7.262925,26.420782,27.477905,22.932357,22.950258,34.997165,23.915907,28.495924
0,0,0,0,0,0,0,0,0,7.569050,7.511099,7.698300,7.734238,7.473354,7.457545,7.426892,7.300442,7.816098,22.972946,26.526704,22.909977,25.590351,29.701819,22.947484,25.534686
0,0,0,0,0,0,0,0,0,7.581539,7.280503,7.738442,7.286894,7.580649,7.384597,7.743453,7.644951,7.292583,23.833701,25.190177,23.000137,27.428571,26.813450,27.119474,25.215923
0,0,0,0,0,0,0,0,0,10.138471,7.615084,7.757023,7.294663,7.244912,8.146140,7.787020,7.634065,7.298591,29.485549,25.720994,22.922972,24.902290,25.083592,26.464581,30.102110
0,0,0,0,0,0,0,0,0,7.258715,7.682371,7.315481,7.288828,7.280188,7.511086,7.589173,7.287068,7.399318,22.950027,23.319895,22.928979,22.878072,36.513996,24.914780,29.743579
0,0,0,0,0,0,0,0,0,7.360390,7.292008,7.471747,7.578977,7.627723,7.264576,8.322509,7.491531,7.266366,23.018653,24.773132,29.955970,22.961292,26.462921,22.881915,25.270077
0,0,0,0,0,0,0,0,0,7.415204,7.533319,7.246293,7.301961,7.300461,9.337233,7.325840,7.318064,7.385362,23.936607,22.957391,23.152795,23.005912,31.421827,22.926739,28.482875
0,0,0,0,0,0,0,0,0,7.302884,7.273312,8.085050,7.857650,7.553529,7.441381,7.547855,7.455276,7.299402,22.913833,23.872393,22.979145,22.972426,33.636022,24.964320,32.057929
0,0,0,0,0,0,0,0,0,8.242007,7.298521,7.457880,7.284149,7.509377,7.555549,7.891632,7.616220,7.264938,22.967318,31.365281,23.243548,23.000112,26.807737,24.284307,23.819183
0,0,0,0,0,0,0,0,0,7.864715,7.298733,7.545795,7.295484,7.289272,8.014269,7.313543,7.847668,7.274883,22.978395,27.404684,22.938423,22.968550,30.077978,22.972794,29.273066
0,0,0,0,0,0,0,0,0,7.754945,7.527660,7.486697,7.266832,8.329796,7.858151,7.720770,7.501060,7.315091,24.260993,27.451258,22.958762,27.086548,34.770900,25.429522,28.145886
0,0,0,0,0,0,0,0,0,7.470795,7.697156,7.823368,7.287745,7.302378,7.628958,7.529398,7.324879,7.248287,22.912427,26.897730,23.041577,23.107523,31.781651,28.280740,26.143669
0,0,0,0,0,0,0,0,0,7.246939,7.283323,7.249613,7.532310,7.803508,7.493613,7.478495,7.282592,7.299009,23.025637,23.812988,27.576156,27.118670,34.733674,22.951767,37.701968
0,0,0,0,0,0,0,0,0,8.244225,7.276444,7.580141,7.288417,8.448657,7.300245,7.861354,8.016497,7.311473,25.274450,29.392404,24.057470,22.932831,24.924940,23.917328,33.645791
0,0,0,0,0,0,0,0,0,8.092332,7.289147,7.733479,7.279699,7.632798,7.856928,7.605419,7.548714,7.491874,24.736988,26.435258,25.897229,23.057810,23.452899,22.953456,23.957140
0,0,0,0,0,0,0,0,0,8.033200,7.653045,7.472195,7.305099,7.438219,7.284263,8.440770,7.299633,7.449854,23.080197,26.837524,22.994206,30.459289,29.226886,22.969815,26.134123
0,0,0,0,0,0,0,0,0,7.254928,7.540128,7.284079,7.399668,7.738591,7.679524,8.960614,7.350942,7.604107,85.032307,22.926404,31.128156,23.658806,26.240553,22.923133,28.939458
0,0,0,0,0,0,0,0,0,7.598684,7.314355,7.305112,7.254350,7.613649,7.565065,7.292820,7.286054,7.632291,22.932079,32.866924,22.956590,22.943830,27.757214,23.005583,31.324839
0,0,0,0,0,0,0,0,0,7.746379,7.520085,7.543520,7.343042,7.407687,7.696831,7.723741,7.448000,7.736918,22.913092,28.093907,22.994162,24.116335,26.301223,22.942345,30.381005
0,0,0,0,0,0,0,0,0,7.288515,7.596880,7.717919,7.974349,7.357548,8.451908,8.140040,7.296494,7.290884,22.928037,26.373776,22.934883,24.072525,26.670279,30.267884,28.260280
0,0,0,0,0,0,0,0,0,7.427142,7.332682,7.836549,7.293562,7.279292,7.683372,8.349375,7.277317,7.701893,22.927618,23.907419,24.467998,29.957242,25.628564,22.956777,27.928024
0,0,0,0,0,0,0,0,0,8.103225,7.704862,7.298120,7.325889,7.277300,7.644576,7.682475,7.554002,7.699768,25.462692,29.565981,22.953738,22.941386,24.082791,27.996715,23.321720
0,0,0,0,0,0,0,0,0,7.322804,7.624106,7.320685,7.287352,7.354500,7.714013,7.413551,7.284443,7.491378,27.705505,29.185061,22.953033,23.018065,26.510017,26.654836,26.119112
0,0,0,0,0,0,0,0,0,7.282523,8.747545,7.262359,7.378018,7.260478,7.365455,7.585697,7.455039,7.307019,23.048015,23.049949,28.497913,22.893315,27.652102,22.936182,26.312271
0,0,0,0,0,0,0,0,0,7.646468,8.208142,7.520427,7.264425,7.266633,7.434625,7.281394,7.476953,7.239708,22.928573,23.948639,25.815019,24.910082,28.132629,22.965353,27.421273
0,0,0,0,0,0,0,0,0,7.491345,7.411310,7.507267,7.295610,7.271735,7.267553,7.259848,7.283881,7.291615,22.963531,23.484854,27.122478,22.959097,27.831824,23.009484,27.465487
0,0,0,0,0,0,0,0,0,7.568632,7.418853,7.316095,7.294849,7.280507,8.074860,8.077405,7.326569,7.275024,22.962695,25.074973,31.036947,22.897299,24.999263,24.240157,31.344596
0,0,0,0,0,0,0,0,0,7.418142,7.313676,7.500031,7.289033,7.275664,7.454499,7.939400,7.362101,7.275632,23.034709,23.471654,27.069717,28.039521,27.665584,23.412711,28.480037
0,0,0,0,0,0,0,0,0,7.531058,7.545587,7.299197,7.730479,7.719594,7.532341,7.322614,7.999779,7.856473,22.935033,23.464892,27.516736,22.981445,34.898731,32.880096,25.782167
0,0,0,0,0,0,0,0,0,7.376379,7.302236,7.698685,8.656835,7.274447,7.524619,7.789679,7.442360,7.556849,22.908168,23.519330,24.628432,25.861814,24.339216,23.539180,24.722759
0,0,0,0,0,0,0,0,0,7.267514,7.593247,7.729003,7.670217,7.606175,7.704630,7.528325,7.696693,7.279196,64.267617,29.499177,23.099800,24.434054,29.975466,22.977073,25.845993
0,0,0,0,0,0,0,0,0,7.300135,7.743205,7.315408,7.283680,7.630377,7.273354,7.596116,7.308841,7.551731,22.911006,25.323979,26.427646,23.652825,25.668073,23.033314,23.626633
0,0,0,0,0,0,0,0,0,8.085736,7.278888,7.294298,7.363259,7.718096,7.734421,7.359421,7.585805,8.021669,22.973372,23.011162,27.563431,22.919718,27.414073,23.942671,25.072356
0,0,0,0,0,0,0,0,0,7.318116,7.441801,7.305431,7.537199,7.283301,7.629731,7.553763,7.800781,7.323701,23.032832,25.882524,22.987851,25.787168,29.216704,26.155230,27.793452
0,0,0,0,0,0,0,0,0,7.542231,7.293345,7.331421,7.523246,7.653581,7.379548,7.568175,7.490608,7.547851,22.904081,27.617603,22.994013,22.954759,29.706659,25.704935,25.309902
0,0,0,0,0,0,0,0,0,7.688313,7.266350,7.594158,7.290086,8.083752,7.411186,7.309791,7.705375,7.282061,22.970299,23.035480,22.997166,22.957751,32.268799,22.929653,27.647252
0,0,0,0,0,0,0,0,0,7.366888,7.258470,7.695053,7.269025,7.848376,8.213681,8.096652,7.333877,7.679819,27.184395,22.994664,27.915147,23.116147,28.041120,22.989686,24.994255
0,0,0,0,0,0,0,0,0,7.504449,7.480333,8.204451,7.302741,7.255400,7.974688,10.278995,7.484905,7.286757,22.926891,22.938839,23.053211,22.968380,28.074491,22.966559,27.510795
0,0,0,0,0,0,0,0,0,7.698573,7.299867,7.324756,7.314540,7.414079,7.920567,7.674553,7.326318,7.604852,22.887602,24.525110,22.974023,22.934494,28.975602,23.026434,31.250548
0,0,0,0,0,0,0,0,0,7.259847,7.302176,7.405598,7.263364,7.283138,7.283285,7.792266,7.748158,7.312286,25.335761,30.210155,23.489058,22.937944,26.417299,22.931781,28.519970
0,0,0,0,0,0,0,0,0,8.001772,7.295478,7.689102,7.261054,7.263783,7.376254,7.580940,7.296791,7.534698,23.105115,23.769523,33.230509,24.075375,27.686188,27.207771,26.377216
