0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,0,0,0,0,0,0,7.257887,7.637297,7.273821,7.537652,7.542663,7.280549,7.291869,7.376145,7.283803,22.944950,22.917621,22.974178,24.461197,25.376432,22.930308,50.239201
0,0,0,0,0,0,0,0,0,7.254097,7.523756,7.450003,7.256059,7.272993,7.273686,7.370188,7.577843,7.465997,22.956859,24.230231,0,27.138996,24.949198,22.976524,25.604675
0,0,0,0,0,0,0,0,0,7.284398,7.253166,7.643105,7.378569,7.241799,7.263982,7.276543,7.928718,7.533822,24.720304,23.674405,22.960101,23.106080,22.945613,22.904581,27.165502
0,0,0,0,0,0,0,0,0,7.415224,7.644471,7.318912,7.293353,7.692161,7.264001,7.305041,7.557388,8.307249,23.010084,27.541792,22.943101,23.003153,29.717942,22.945273,25.075893
0,0,0,0,0,0,0,0,0,7.289737,7.288835,7.229302,7.783889,7.319452,7.329404,7.268188,7.805356,7.844141,22.920212,26.994150,22.910819,22.959702,24.796554,22.953272,26.905873
0,0,0,0,0,0,0,0,0,7.238726,7.277085,7.283124,7.603278,7.734359,7.330926,7.266690,7.564572,7.470715,22.980583,25.656237,27.409004,28.078173,36.466142,22.932828,30.632375
0,0,0,0,0,0,0,0,0,7.283621,7.294247,7.891958,7.538979,7.701164,7.334553,7.278578,8.174551,7.517575,22.994633,23.018483,27.218125,22.903160,34.322264,24.588572,25.217678
0,0,0,0,0,0,0,0,0,7.311877,7.356523,7.634323,7.246049,7.696601,7.279598,7.428161,7.266986,7.297809,30.490506,25.230686,22.902428,22.952773,24.525697,23.504873,23.098961
0,0,0,0,0,0,0,0,0,7.279218,7.382860,7.295514,7.673109,7.489175,7.705960,7.275266,7.279646,7.288114,22.913700,27.423368,22.981244,22.997322,24.131603,23.024353,22.964688
0,0,0,0,0,0,0,0,0,7.254523,8.223539,8.056865,7.266729,7.563180,7.290624,7.279926,7.275682,7.572724,22.996297,24.001695,22.923107,22.988496,26.202135,22.935116,24.177165
