0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
0,0,0,0,0,0,0,0,0,7.267549,8.012995,7.593833,7.506794,7.705706,7.451931,7.334832,7.555697,7.473609,23.771741,27.647060,22.923398,26.238219,34.752966,22.989882,30.096531
0,0,0,0,0,0,0,0,0,7.498127,7.614117,7.877221,7.293828,7.517280,7.297911,7.268952,7.789395,7.787543,22.994157,24.200733,22.945672,25.304941,23.286428,22.923603,37.795171
0,0,0,0,0,0,0,0,0,7.311568,7.292370,7.504388,8.063726,7.789768,7.305520,7.255043,7.966690,7.977263,22.972955,25.105372,22.895322,24.570867,26.173290,25.246426,31.797264
0,0,0,0,0,0,0,0,0,7.262785,7.466459,7.276750,7.773190,7.860308,7.308108,7.286696,7.372466,8.024183,22.956495,32.874427,28.762757,22.897285,27.282469,24.275332,29.764345
0,0,0,0,0,0,0,0,0,7.274750,7.492561,7.455900,7.290948,8.028671,7.505800,7.599115,7.274599,7.611766,24.008766,28.116614,25.604454,22.923261,29.108193,24.163017,45.328409
0,0,0,0,0,0,0,0,0,7.516394,8.650517,7.693349,7.596382,8.250820,7.280514,7.584663,7.339154,7.846971,24.816711,23.046591,25.135434,23.253253,29.201834,25.180845,32.372754
0,0,0,0,0,0,0,0,0,7.581381,8.300542,7.294051,7.826930,9.821136,7.908615,7.316692,7.285129,7.795376,22.953856,29.593098,22.943561,23.622006,25.534264,24.523418,33.245073
0,0,0,0,0,0,0,0,0,7.297561,7.773882,7.276184,7.276716,7.276241,8.239871,7.350929,7.506834,8.097796,23.410958,42.293390,24.964717,22.919536,25.364236,34.867227,38.871824
0,0,0,0,0,0,0,0,0,7.310710,7.538453,7.895899,7.718744,7.423548,7.748538,7.267628,8.652896,7.757280,24.488784,30.840066,29.365283,22.906404,27.368044,22.924361,23.995459
0,0,0,0,0,0,0,0,0,7.908707,7.791985,7.266281,7.756242,7.603522,8.026480,7.601525,7.271884,7.829175,22.965484,26.379041,22.962763,23.029289,30.422736,22.998584,27.330627
0,0,0,0,0,0,0,0,0,7.329326,7.518442,7.363961,7.519076,7.801193,7.280271,8.085413,7.805783,7.806461,25.106906,26.593686,22.946897,27.263029,31.354874,23.057702,28.175101
0,0,0,0,0,0,0,0,0,7.626816,7.820867,7.634823,7.494016,7.619234,8.759702,7.449794,7.756954,7.735883,24.417337,22.986865,22.947322,23.103857,25.013812,25.152776,26.840927
0,0,0,0,0,0,0,0,0,7.258333,7.340070,7.269442,7.317331,7.711475,7.425687,7.281477,7.263033,7.522958,22.935943,24.895822,22.947711,33.272672,29.560755,22.969622,24.918609
0,0,0,0,0,0,0,0,0,7.518060,7.271736,7.647873,7.776547,7.369683,9.224966,7.288629,7.747612,8.127322,26.145750,24.108302,22.963045,23.243172,30.371943,23.057914,32.032283
0,0,0,0,0,0,0,0,0,7.282875,7.327201,7.386708,7.302769,7.798357,7.278335,7.455102,8.220162,8.064349,25.151382,24.776777,24.326930,23.015875,27.672125,22.947192,29.585129
0,0,0,0,0,0,0,0,0,7.786738,7.410601,7.438124,7.917312,7.702710,8.062350,7.507698,7.327965,7.569459,24.070483,28.214258,23.096433,22.980320,31.965115,27.464957,28.593839
0,0,0,0,0,0,0,0,0,7.438237,7.348410,7.262897,8.371853,8.093025,7.449901,7.909239,7.298547,7.635842,22.988708,25.516572,22.965915,22.935330,26.145412,22.914742,28.265345
0,0,0,0,0,0,0,0,0,7.541507,7.724819,7.396846,7.263133,8.759531,7.774183,7.308051,8.031350,7.794007,24.705510,25.040145,22.972173,22.939221,144.970886,22.994503,28.963684
0,0,0,0,0,0,0,0,0,8.602342,7.566056,8.072723,8.359568,8.145880,7.305435,7.264388,7.421644,7.801154,22.953129,23.869838,25.496623,23.851574,25.885052,22.930251,28.400701
0,0,0,0,0,0,0,0,0,7.300219,7.376124,7.446645,7.873254,7.318119,7.287149,7.294060,7.528094,7.616448,24.671973,23.109340,29.720182,22.936387,34.479800,23.194061,36.100986
0,0,0,0,0,0,0,0,0,7.951030,7.977479,7.521509,8.402070,7.905646,7.296742,7.577633,7.803061,7.980982,29.250205,30.252315,25.556489,23.024187,26.738954,22.968124,30.247995
